Класснейм (Key),Описание на русском
STR_BRDK_Art_Flashlight_1,"Редкий артефакт. Формируется в аномалиях электрического типа. По сообщениям, люди, полностью утратившие зрение, способны различать его свет и очертания."
STR_BRDK_Art_Torch_1,"Редкий артефакт. Формируется в термических аномалиях. Лабораторные испытания показали, что пламя не гаснет ни в агрессивной среде, ни в вакууме."
STR_BRDK_Art_Magma_1,"Артефакт встречается в Зоне нечасто. Образуется в термических аномалиях. Похоже, что вкрапления породы внутри обладают собственным гравитационным полем."
STR_BRDK_Art_Lira_1,Артефакт широко распространён. Образуется в термических аномалиях. Малейшие колебания вызывают нагрев струноподобных образований.
STR_BRDK_Art_Rubik_1,Редкий артефакт. Образуется в гравитационных аномалиях. В инфракрасном диапазоне становится прозрачным.
STR_BRDK_Art_RatKing_1,"Артефакт широко распространён. Образуется в электрических аномалиях. Каждый провод в спутанном клубке создаёт электромагнитное поле, из-за чего Крысиный король постоянно шевелится."
STR_BRDK_Art_CrystalThorn_1,"Артефакт широко распространён. Образуется в кислотных аномалиях. Состоит из аномально твёрдого материала, неизвестного науке. Толщина шипов — от 0,3 мм до нескольких молекул."
STR_BRDK_Art_Crown_1,Артефакт встречается в Зоне нечасто. Образуется в гравитационных аномалиях. Сходство с ювелирным украшением обеспечило Короне высокую цену на чёрных рынках Большой земли.
STR_BRDK_Art_Kanifol_1,Артефакт широко распространён. Образуется в гравитационных аномалиях. Пользуется популярностью среди ювелиров Большой земли.
STR_BRDK_Art_Berry_1,Артефакт-легенда. Образуется в электрических аномалиях. При постепенном нагревании до 78 градусов Цельсия вызывает яркие коллективные галлюцинации утопического характера.
STR_BRDK_Art_Ridge_1,"Редкий артефакт. Образуется в электрических аномалиях. Хрупкость шипов Гребня обманчива: они настолько прочны, что способны поцарапать алмаз."
STR_BRDK_Art_GiperCube_1,Артефакт-легенда. Образуется в термических аномалиях. Полный потенциал артефакта не изучен. Излучает сверхдлинные радиоволны. Может применяться в космической навигации.
STR_BRDK_Art_Galka_1,"Артефакт широко распространён. Образуется в аномалиях гравитационного типа. Несмотря на массивный внешний вид, артефакт пористый на ощупь и крошится при давлении."
STR_BRDK_Art_Vspishka_1,"Артефакт широко распространён. Образуется в аномалиях электрического типа. Если измельчить Вспышку в порошок, каждая частица продолжит генерировать электрические разряды."
STR_BRDK_Art_Vertushka_1,Артефакт широко распространён. Образуется в аномалиях термического типа. При выносе за пределы Зоны цвет искр меняется на бледно-зелёный.
STR_BRDK_Art_Buton_1,Редкий артефакт. Образуется в гравитационных аномалиях. При расщеплении выделяет маслянистое вещество с цветочным ароматом.
STR_BRDK_Art_ArtSkifa_1,"Самый первый в мире артефакт. Получен в 1995 году в ходе Первого Карибского эксперимента, задолго до образования Зоны. Изучался в рамках проекта X как один из возможных источников аномальной энергии. Было установлено, что он способен преобразовывать электрическую энергию в пси-поле. Практическое применение получил при формировании сети проекта X: именно через Альфу осуществлялась связь между объектами и пси-установками, включая Монолит."
STR_BRDK_Art_ZhidkiyKamen_1,Артефакт-легенда. Образуется в аномалиях кислотного типа. Одно из менее очевидных свойств Жидкого камня — его обезболивающее действие при мигренях. Для сохранения эффекта артефакт необходимо носить при себе.
STR_BRDK_Art_UrokTruda_1,Артефакт редкий. Образуется в аномалиях электрического типа. При отделении болтов от сердцевины артефакта на их восстановление уходит около недели.
STR_BRDK_Art_Arfa_1,"Артефакт в Зоне встречается нечасто. Образуется в аномалиях электрического типа. Сталкеры верят, что, вглядываясь в кристаллы этого артефакта, можно услышать странные мелодии."
STR_BRDK_Art_Slyuda_1,Артефакт широко распространён. Образуется в аномалиях кислотного типа. При наблюдении в ультрафиолетовом или инфракрасном спектре Слюда теряет прозрачность и становится непроницаемо чёрной.
STR_BRDK_Art_Sliznyak_1,"Артефакт широко распространён. Образуется в аномалиях кислотного типа. При ударе тяжёлым предметом или падении на твёрдую поверхность Слизняк затвердевает на 0,1 секунды."
STR_BRDK_Art_Sliz_1,"Артефакт широко распространён. Образуется в аномалиях кислотного типа. При воздействии экстремально контрастных температур Слизь плавится, а затем застывает, принимая спиральную форму."
STR_BRDK_Art_MeatChunk_1,"Артефакт широко распространён. Образуется в аномалиях кислотного типа. Жидкость, сочащаяся из Ломтя мяса, по химическому составу напоминает животный жир. Употребление не рекомендуется."
STR_BRDK_Art_Koluchka_1,Артефакт широко распространён. Образуется в аномалиях кислотного типа. Внутренняя структура игл Колючки представляет собой бесконечный геометрический фрактал.
STR_BRDK_Art_Gravy_1,Артефакт широко распространён. Образуется в аномалиях гравитационного типа. Единственный способ разделить Грави на части — плазменная резка. Этот артефакт плотнее и твёрже алмаза.
STR_BRDK_Art_Crystal_1,"Артефакт широко распространён. Образуется в аномалиях термического типа. То, что кажется окраской артефакта, на самом деле является пламенем, горящим внутри кристалла."
STR_BRDK_Art_Beefshteks_1,"Артефакт широко распространён. Образуется в аномалиях термического типа. При длительном удержании Бифштекса в незащищённой руке он прилипает к коже, и его приходится отдирать."
STR_BRDK_Art_ElectroBattery_1,"Артефакт широко распространён. Образуется в аномалиях электрического типа. Переменный ток высокой частоты, светящийся внутри Батарейки, не вызывает ожогов при касании."
STR_BRDK_Art_BlueFlower_1,"Один из легендарных изменённых предметов, о которых сталкеры говорят у костра. Если уснуть с ним на поясе, цветок маскирует запах носителя, но со временем его аромат ослабевает."
STR_BRDK_Art_BitKamen_1,Артефакт редко встречается в Зоне. Образуется в аномалиях гравитационного типа. В отсутствие наблюдателя показатели артефакта перестают регистрироваться приборами.
STR_BRDK_Art_BloodStone_1,Артефакт широко распространён. Образуется в аномалиях гравитационного типа. Красно-бурые прожилки на поверхности Крови камня вызваны скоплением солей железа.
STR_BRDK_Art_Container_old_1,"Самодельный контейнер, собранный сталкерами из подручных материалов. Нейтрализует вредное воздействие артефактов на организм носителя. Однако не способен остановить деградацию самого артефакта — со временем тот теряет заряд."
STR_BRDK_Art_Container_new_1,"Продвинутый контейнер, разработанный учёными для безопасной работы с артефактами. Полностью защищает носителя от их воздействия и стабилизирует внутренние процессы артефакта, предотвращая его старение и потерю заряда со временем."
STR_BRDK_Art_Chernobyl_1,"Легендарный и крайне редкий артефакт. Действует как мощный усилитель пси-излучения. Коэффициент усиления зависит от параметров и индивидуальных особенностей источника. Его свойства изучены слабо, полный набор характеристик остаётся неизвестным. Предположительно содержит первичную структуру материи Зоны."
STR_BRDK_Art_Sapphire_1,"Артефакт широко распространён. Образуется в аномалиях электрического типа. Сталкеры верят, что если тайком подложить Сапфир в чужую снарягу, все беды прежнего владельца перейдут к новому."
STR_BRDK_Art_Leaper_1,"Редкий артефакт. Образуется в аномалиях химического типа. Обладает резким, отталкивающим запахом, напоминающим нашатырь."
STR_BRDK_Art_Fireball_1,Артефакт широко распространён. Образуется в аномалиях термического типа. На ощупь Огненный шар неожиданно холоден. Разница температур между его мембраной и ядром достигает 500 градусов по Цельсию.
STR_BRDK_Art_MeatLighter_1,"Редкий артефакт. Образуется в аномалиях термического типа. Горение поддерживается смесью пропана и фосфина, выделяемой через внутренние поры."
STR_BRDK_Art_flytrap_1,Артефакт встречается в Зоне нечасто. Образуется в аномалиях гравитационного типа. При контакте жгутиков с незащищённой кожей возникают ожоги. Соблюдайте технику безопасности!
STR_BRDK_Art_SeaStar_1,"Редкий артефакт. Образуется в аномалиях электрического типа. При контакте с солёной водой артефакт вызывает реакцию электролиза, в результате которой соль выпадает в осадок."
STR_BRDK_Art_Sponge_1,"Довольно распространённая изумрудная вязкая субстанция, порождаемая аномалией «Холодец». При ношении артефакт создаёт особое химическое поле, защищающее носителя от вредных воздействий."
STR_BRDK_Art_Mommy_1,Артефакт встречается в Зоне редко. Образуется в аномалиях термического типа. Высоко ценится на чёрных рынках Большой земли как эксклюзивное украшение интерьера.
STR_BRDK_Art_Breakfast_1,"Распространённый артефакт. Формируется в биологических аномалиях. Испускает слабое регенеративное излучение, ускоряющее естественные процессы восстановления."
STR_BRDK_Art_Compass_1,"Редкий артефакт. Формируется в гравитационных аномалиях. Стабилизирует пространственные искажения, снижая воздействие гравитации."
STR_BRDK_Art_Rozhok_1,Необычный артефакт. Формируется в акустических аномалиях. Усиливает и искажает звуковые волны.
STR_BRDK_Art_Oil_1,Распространённый артефакт. Формируется в химических аномалиях. Вещество напоминает нефть и активно поглощает токсины и радиацию.
STR_BRDK_Art_TreeSoul_1,Редкий артефакт. Формируется в биологических аномалиях рядом со старой растительностью. Излучает устойчивые биоритмы.
STR_BRDK_Art_Zharkoe_1,Распространённый артефакт. Формируется в термических аномалиях. Имеет яркое оранжевое свечение и постоянно излучает тепло.
STR_BRDK_Art_Colddrop_1,"Редкий артефакт. Формируется в гравитационных аномалиях в сочетании с экстремальным холодом. Представляет собой неровную, шероховатую сферу, окружённую частицами, постоянно пытающимися отделиться. Поглощает тепло и создаёт локальную зону повышенной гравитации."
STR_BRDK_Art_AppleStone_1,"Необычный артефакт. Формируется в комбинированных химических и биологических аномалиях. Каменный объект имеет внутри тёмно-красное свечение, отдалённо напоминающее яблоко. Фанатики утверждают, что именно такое яблоко росло в Эдеме."
STR_BRDK_Art_Pustishka_1,"Тривиальный артефакт. Не имеет заметных свойств и часто встречается среди других артефактов, вводя в заблуждение неопытных сталкеров."
STR_BRDK_Art_Toadstool_1,"Распространённый артефакт. Формируется в химических и биологических аномалиях. Имеет насыщенный синий цвет с голубоватым свечением и испускает слабое токсичное излучение. Сталкеры говорят, что при длительном ношении становится плохо без видимой причины, поэтому многие стараются держать его подальше."
STR_BRDK_Art_Kolobok_1,"Распространённый артефакт. Формируется в биологических аномалиях. Ускоряет регенерацию тканей и ценится сталкерами за свои лечебные свойства, несмотря на небольшое радиоактивное излучение."
STR_BRDK_Art_GoldFish_1,"Редкий артефакт. Формируется в гравитационных аномалиях. Золотая рыбка ослабляет действие гравитации на предметы рядом с носителем, позволяя переносить значительно больший вес."
STR_BRDK_Art_Eye_1,"Редкий артефакт. Формируется в электрических аномалиях. Глаз воздействует на нервную систему носителя, усиливая восприятие и облегчая обнаружение аномалий, особенно при плохой видимости."
STR_BRDK_Art_Soul_1,"Редкий артефакт. Формируется в биологических аномалиях. «Душа» значительно ускоряет регенерацию живых тканей и считается одним из самых ценных лечебных артефактов, несмотря на заметный радиационный фон."
STR_BRDK_Art_Mikrob_1,Необычный артефакт. Формируется в биологических аномалиях. Напоминает сгусток живой ткани с нестабильной биоактивностью.
STR_BRDK_Art_Propeller_1,"Редкий артефакт. Формируется в гравитационных аномалиях. Постоянно вращается, создавая турбулентные гравитационные потоки."
STR_BRDK_Art_JellyFish_1,"Распространённый артефакт. Формируется в гравитационных аномалиях. Незначительно снижает радиацию, но считается малоценным."
STR_BRDK_Art_Izolator_1,"Редкий артефакт, формирующийся в электрических аномалиях. Поглощает и рассеивает опасные энергетические поля, значительно снижая радиацию и электрический урон."
STR_BRDK_Art_Karusel_1,"Опасный органический артефакт, формирующийся в гравитационных аномалиях. Напоминает живую вирусоподобную структуру. Агрессивно взаимодействует с биологической тканью, усиливая физическую выносливость, но несёт серьёзные риски."
STR_BRDK_Art_OasisHeart_1,"Редкий артефакт, формирующийся в аномальных зонах со стабильным энергетическим полем. Медленно восстанавливает жизненные силы и снижает радиацию, высоко ценится опытными сталкерами."
STR_BRDK_Art_Puzir_1,"Распространённый артефакт, формирующийся в гравитационных аномалиях. Частично поглощает кинетическую энергию, слегка снижая физический урон."
STR_BRDK_Art_Ulitka_1,"Распространённый артефакт, формирующийся в химических аномалиях. Медленно накапливает токсичные соединения, незначительно повышая устойчивость к химическому урону."
STR_BRDK_Art_Angel_1,"Редкий артефакт, формирующийся в высокоэнергетических аномалиях. Излучает стабилизирующее поле, значительно снижает радиацию и медленно восстанавливает жизненные силы."
STR_BRDK_Art_Klaksa_1,"Распространённый органический артефакт, формирующийся в химических аномалиях. Поглощает токсичные вещества, слегка повышая химическую устойчивость, но нестабилен и потенциально опасен."
STR_BRDK_Art_Volchok_1,"Опасный артефакт, формирующийся в гравитационных аномалиях. Агрессивно искажает окружающее пространство, повышая физическую устойчивость, но представляет постоянную угрозу носителю."
STR_BRDK_Art_BenghalFire_1,"Редкий артефакт, формирующийся в термических аномалиях. Излучает сильное тепло, значительно повышая устойчивость к холоду и радиации, но представляет риск ожогов для носителя."
STR_BRDK_Art_Brain_1,"Редкий органический артефакт, формирующийся в пси-активных аномалиях. Усиливает нейронную активность, повышая пси-устойчивость и восприятие, но при длительном воздействии вызывает серьёзную психическую нагрузку."
STR_BRDK_Art_BlackEnergy_1,"Редкий артефакт, формирующийся в нестабильных энергетических аномалиях. Излучает плотное поле неизвестной природы, значительно повышая защиту от энергии и радиации, но медленно истощает жизненные силы носителя."
STR_BRDK_Art_Plesen_1,"Распространённый органический артефакт, формирующийся во влажных химических аномалиях. Медленно поглощает токсины, слегка повышая химическую устойчивость, но выделяет споры, ослабляющие носителя со временем."
STR_BRDK_Art_BlueSpiral_1,"Редкий артефакт, формирующийся в электрических аномалиях. Создаёт стабильный энергетический вихрь, повышая устойчивость к электрическому урону и радиации, но может нарушать работу электроники поблизости."
STR_BRDK_Art_Brak_1,"Артефакт, образовавшийся в результате неудачной реакции аномалии. Не обладает полезными свойствами и считается бесполезным, но всё ещё классифицируется как артефакт."
STR_BRDK_Art_JilStone_1,"Распространённый артефакт, формирующийся в минеральных аномалиях. Обладает плотной слоистой структурой с выраженными жилами, слегка повышает физическую устойчивость, но увеличивает нагрузку на носителя."
STR_BRDK_Art_VihrevoyUzel_1,"Артефакт с нестабильной внутренней структурой, напоминающей закрученный поток. В его центре непрерывно циркулирует энергия, вызывая лёгкое искажение воздуха вокруг. По наблюдениям сталкеров, способен влиять на пространство в малом радиусе и нарушать устойчивость траектории движущихся объектов."
STR_BRDK_Art_VedminStuden_1,"Плотная желеобразная субстанция, образующаяся в аномальных зонах. При контакте медленно растворяет органику, оставляя неорганические материалы нетронутыми. Несмотря на опасность, некоторые сталкеры используют её для контролируемого химического разложения и утилизации отходов."
STR_BRDK_Art_SpekshiysaPesok_1,"Застывшая прочная масса, сформированная аномальным перегревом. Зёрна спеклись в острые шершавые структуры, удерживающие тепло в течение длительного времени. При контакте обжигает, используется как компактный и стабильный источник тепла"
STR_BRDK_Art_OskolokRezonansa_1,"Прозрачный осколок, излучающий ровное белое свечение. Его внутренняя структура усиливает вибрации, вызывая резонанс окружающих объектов и лёгкое искажение звука и движения."
STR_BRDK_Art_Skladka_1,"Редкий артефакт, формирующийся в пространственных аномалиях. Искажает локальное пространство, снижая входящий физический урон, но со временем вызывает дезориентацию у носителя."
STR_BRDK_Art_Gniluha_1,"Отвратительный органический артефакт, формирующийся в разлагающихся аномалиях. Представляет собой плотную смесь земли, камней и разложившейся биологической массы. Источает зловоние, слегка повышает устойчивость к токсинам, но ослабляет носителя со временем."
STR_BRDK_Art_Chertik_1,"Небольшой нестабильный артефакт с непредсказуемым поведением. Периодически выбрасывает импульсы энергии, вызывая резкие рывки или сильные толчки. Из-за своей нестабильности считается опасным."
STR_BRDK_Art_Krestovina_1,"Редкий гибридный артефакт, формирующийся в коррозионных аномалиях. Представляет собой ржавые стальные стержни, сросшиеся в центре органической массы, словно металл приобрёл свойства живой материи. Повышает физическую устойчивость, но постепенно разрушает организм носителя."
STR_BRDK_Art_WhiteRing_1,"Редкий артефакт, формирующийся в гравитационных аномалиях. Представляет собой белое светящееся кольцо, постоянно вращающееся вокруг своей оси. Стабилизирует окружающее пространство, снижая входящий урон, но может вызывать дезориентацию у носителя."